iter	Passed	Remaining
0	1	138
1	2	129
2	3	122
3	4	112
4	5	110
5	6	108
6	8	112
7	9	112
8	10	110
9	12	108
10	13	106
11	14	105
12	15	103
13	16	102
14	17	101
15	18	99
16	20	98
17	21	96
18	22	96
19	23	95
20	25	94
21	26	92
22	27	91
23	28	89
24	29	88
25	30	87
26	31	86
27	33	84
28	34	83
29	35	82
30	36	81
31	37	80
32	38	79
33	40	77
34	41	76
35	42	75
36	43	74
37	44	72
38	45	71
39	47	70
40	48	69
41	48	67
42	49	65
43	51	64
44	52	63
45	53	62
46	54	61
47	55	60
48	56	59
49	57	57
50	58	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	68	47
59	69	46
60	70	44
61	71	43
62	72	42
63	73	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	81	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	112	3
97	113	2
98	114	1
99	115	0
