iter	Passed	Remaining
0	2	2203
1	4	2066
2	5	1906
3	9	2246
4	10	2147
5	12	2084
6	14	2004
7	15	1944
8	17	1914
9	18	1876
10	20	1846
11	22	1858
12	24	1835
13	25	1802
14	27	1777
15	28	1765
16	30	1743
17	31	1733
18	33	1727
19	35	1728
20	37	1729
21	38	1729
22	40	1711
23	41	1704
24	43	1697
25	44	1679
26	46	1662
27	47	1643
28	48	1640
29	51	1650
30	52	1648
31	54	1645
32	56	1648
33	57	1646
34	59	1638
35	60	1631
36	62	1627
37	64	1627
38	65	1626
39	67	1628
40	69	1624
41	71	1624
42	73	1626
43	75	1630
44	76	1628
45	78	1628
46	80	1625
47	81	1625
48	83	1621
49	85	1616
50	87	1619
51	88	1613
52	90	1612
53	94	1657
54	96	1655
55	97	1650
56	99	1644
57	100	1639
58	102	1631
59	103	1621
60	104	1615
61	106	1611
62	108	1609
63	109	1604
64	111	1602
65	112	1597
66	114	1597
67	116	1593
68	117	1589
69	119	1587
70	121	1586
71	123	1585
72	124	1582
73	126	1579
74	128	1583
75	130	1581
76	131	1579
77	133	1576
78	135	1575
79	136	1574
80	138	1569
81	140	1568
82	140	1557
83	143	1559
84	144	1558
85	146	1555
86	148	1555
87	149	1554
88	151	1552
89	153	1549
90	154	1546
91	156	1542
92	157	1538
93	159	1539
94	161	1539
95	163	1540
96	165	1541
97	167	1542
98	169	1538
99	170	1534
100	171	1530
101	173	1526
102	174	1522
103	177	1527
104	180	1534
105	181	1532
106	183	1531
107	184	1527
108	186	1523
109	187	1519
110	189	1517
111	191	1518
112	193	1518
113	195	1520
114	197	1518
115	198	1513
116	199	1506
117	200	1501
118	202	1500
119	204	1499
120	206	1500
121	208	1498
122	210	1500
123	212	1498
124	213	1495
125	215	1494
126	216	1490
127	218	1488
128	220	1489
129	222	1489
130	224	1490
131	226	1487
132	227	1484
133	229	1482
134	231	1481
135	233	1480
136	234	1479
137	236	1480
138	238	1478
139	240	1475
140	241	1473
141	242	1467
142	244	1466
143	246	1464
144	248	1464
145	250	1464
146	252	1464
147	253	1460
148	255	1457
149	256	1453
150	257	1449
151	259	1445
152	260	1441
153	262	1441
154	264	1439
155	265	1437
156	267	1434
157	268	1430
158	269	1426
159	271	1423
160	272	1417
161	273	1413
162	274	1409
163	276	1408
164	278	1407
165	279	1404
166	281	1402
167	282	1398
168	283	1395
169	284	1391
170	286	1387
171	287	1384
172	289	1383
173	291	1383
174	293	1383
175	295	1384
176	297	1384
177	299	1383
178	301	1382
179	304	1385
180	307	1391
181	309	1389
182	310	1385
183	311	1382
184	313	1379
185	314	1377
186	316	1375
187	318	1374
188	320	1376
189	322	1375
190	323	1371
191	325	1368
192	326	1366
193	328	1364
194	329	1361
195	331	1361
196	334	1361
197	335	1358
198	336	1356
199	338	1354
200	340	1354
201	342	1353
202	343	1350
203	346	1350
204	348	1349
205	350	1349
206	351	1347
207	352	1343
208	354	1340
209	355	1338
210	357	1337
211	359	1334
212	361	1334
213	363	1333
214	364	1330
215	365	1326
216	366	1322
217	367	1319
218	370	1320
219	371	1317
220	373	1314
221	375	1317
222	377	1316
223	379	1314
224	380	1310
225	381	1308
226	383	1306
227	384	1303
228	386	1300
229	387	1298
230	389	1298
231	391	1296
232	393	1294
233	394	1291
234	395	1288
235	397	1286
236	399	1284
237	400	1282
238	403	1283
239	404	1282
240	406	1280
241	408	1277
242	409	1275
243	410	1272
244	412	1270
245	413	1267
246	414	1264
247	418	1267
248	420	1267
249	422	1267
250	424	1265
251	425	1263
252	427	1260
253	429	1260
254	432	1262
255	434	1261
256	435	1260
257	437	1258
258	439	1256
259	440	1254
260	442	1253
261	444	1252
262	446	1250
263	448	1251
264	450	1249
265	451	1246
266	453	1244
267	454	1241
268	456	1240
269	459	1242
270	461	1241
271	463	1240
272	466	1241
273	467	1239
274	469	1238
275	471	1236
276	472	1234
277	474	1232
278	476	1230
279	477	1228
280	478	1225
281	480	1223
282	481	1220
283	483	1217
284	484	1215
285	485	1212
286	487	1210
287	489	1209
288	491	1208
289	493	1207
290	494	1205
291	496	1203
292	498	1201
293	500	1202
294	503	1202
295	504	1200
296	505	1197
297	507	1194
298	508	1191
299	509	1189
300	511	1187
301	512	1185
302	514	1183
303	516	1182
304	517	1180
305	519	1177
306	520	1175
307	521	1172
308	523	1170
309	524	1168
310	526	1165
311	527	1162
312	528	1160
313	530	1159
314	532	1157
315	533	1155
316	535	1152
317	536	1150
318	538	1149
319	539	1146
320	540	1143
321	542	1141
322	544	1140
323	545	1139
324	547	1136
325	548	1134
326	549	1131
327	551	1129
328	552	1127
329	554	1124
330	555	1122
331	556	1120
332	558	1118
333	559	1116
334	561	1114
335	562	1111
336	564	1110
337	565	1108
338	567	1105
339	568	1103
340	569	1100
341	570	1097
342	572	1096
343	574	1094
344	575	1092
345	577	1090
346	578	1089
347	580	1086
348	581	1084
349	582	1081
350	583	1079
351	586	1079
352	588	1078
353	590	1076
354	591	1074
355	593	1073
356	594	1071
357	595	1068
358	597	1066
359	598	1063
360	600	1063
361	602	1062
362	604	1060
363	605	1058
364	607	1057
365	608	1054
366	610	1052
367	611	1049
368	612	1047
369	614	1045
370	615	1044
371	617	1042
372	618	1040
373	620	1037
374	621	1036
375	623	1033
376	624	1031
377	625	1028
378	626	1026
379	627	1024
380	629	1022
381	631	1020
382	632	1018
383	633	1016
384	635	1014
385	636	1012
386	637	1010
387	638	1007
388	639	1005
389	641	1002
390	642	1000
391	644	999
392	645	997
393	647	995
394	648	993
395	650	991
396	651	989
397	652	987
398	654	985
399	655	982
400	656	980
401	658	979
402	660	978
403	661	976
404	662	973
405	664	971
406	665	969
407	666	967
408	667	965
409	669	962
410	670	960
411	671	958
412	673	956
413	674	955
414	676	953
415	677	951
416	679	949
417	680	947
418	681	945
419	682	943
420	684	940
421	685	938
422	686	936
423	688	935
424	689	933
425	691	931
426	692	929
427	694	927
428	695	925
429	696	923
430	697	921
431	698	919
432	700	917
433	702	916
434	703	914
435	705	912
436	706	910
437	708	908
438	709	906
439	710	904
440	711	902
441	712	900
442	714	897
443	715	896
444	717	894
445	718	892
446	720	891
